title,company_name,description
Platform Engineer,Weights & Biases,"We are looking for a Platform Engineer to join our engineering team at Weights & Biases. You will implemented authentication systems and integrated third-party APIs. The ideal candidate has strong experience in docker, node.js, and rest api. You should be comfortable working with postman and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in grpc, ci/cd, and mongodb. Familiarity with docker is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Full Stack Engineer,Netflix,"Netflix is hiring a Senior Full Stack Engineer to help build and scale our data and engineering platform. In this role you will developed end-to-end web applications, improved SEO and performance, and designed and deployed full stack features. Must have: 3+ years in sql, hands-on experience with git and postgresql, strong knowledge of javascript. Nice to have: css, docker, postman. You will work closely with product and design teams to deliver high-quality software. Our stack: sql, git, git. Remote-friendly, competitive salary."
Cloud Infrastructure Engineer,McKinsey,"We are looking for a Cloud Infrastructure Engineer to join our analytics team at McKinsey. You will set up disaster recovery workflows and automated infrastructure with Terraform. The ideal candidate has strong experience in networking, docker, and cloudformation. You should be comfortable working with vault and kubectl. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in security, iam, and azure. Familiarity with aws cli is a plus. We offer competitive compensation, equity, and excellent benefits."
Site Reliability Engineer,Microsoft,"Microsoft is hiring a Site Reliability Engineer to help build and scale our data and engineering platform. In this role you will implemented monitoring with Prometheus and Grafana, secured container environments, and provisioned cloud infrastructure with Terraform. Must have: 5+ years in bash, hands-on experience with azure and linux, strong knowledge of git. Nice to have: docker, pagerduty, helm. You will work closely with product and design teams to deliver high-quality software. Our stack: bash, azure, github actions. Remote-friendly, competitive salary."
AI Engineer,Uber,"Uber is hiring a AI Engineer to help build and scale our data and engineering platform. In this role you will optimized model latency, fine-tuned transformer models, and designed inference APIs. Must have: 2+ years in machine learning, hands-on experience with tensorflow and fastapi, strong knowledge of deep learning. Nice to have: model deployment, docker, hugging face. You will work closely with product and design teams to deliver high-quality software. Our stack: machine learning, tensorflow, mlflow. Remote-friendly, competitive salary."
Web Developer,Databricks,"We are looking for a Web Developer to join our infrastructure team at Databricks. You will built responsive React applications and integrated REST APIs. The ideal candidate has strong experience in responsive design, react, and node.js. You should be comfortable working with vite and figma. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in rest api, jest, and redux. Familiarity with git is a plus. We offer competitive compensation, equity, and excellent benefits."
Principal Data Scientist,TechStartup Inc,"Join TechStartup Inc as a Principal Data Scientist. We are a fast-growing startup solving hard problems with machine learning. What you'll do: optimized model performance; built predictive models; conducted A/B testing. What we need: deep expertise in r and numpy; strong background in deep learning; experience deploying git at scale. Bonus: statistics, sql, spark. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Web Application Engineer,VMware,"VMware is hiring a Web Application Engineer to help build and scale our data and engineering platform. In this role you will improved SEO and performance, developed end-to-end web applications, and built real-time chat with WebSockets. Must have: 2+ years in rest api, hands-on experience with node.js and sql, strong knowledge of docker. Nice to have: mongodb, figma, git. You will work closely with product and design teams to deliver high-quality software. Our stack: rest api, node.js, postman. Remote-friendly, competitive salary."
Lead Data Engineer,PagerDuty,"PagerDuty is hiring a Lead Data Engineer to help build and scale our data and engineering platform. In this role you will automated ingestion jobs, implemented data quality checks, and optimized SQL queries. Must have: 3+ years in python, hands-on experience with etl and kafka, strong knowledge of databricks. Nice to have: data pipelines, terraform, jenkins. You will work closely with product and design teams to deliver high-quality software. Our stack: python, etl, dbt. Remote-friendly, competitive salary."
Site Reliability Engineer,AMD,"We are looking for a Site Reliability Engineer to join our analytics team at AMD. You will provisioned cloud infrastructure with Terraform and secured container environments. The ideal candidate has strong experience in bash, python, and jenkins. You should be comfortable working with pagerduty and github actions. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in ansible, git, and terraform. Familiarity with helm is a plus. We offer competitive compensation, equity, and excellent benefits."
Backend Engineer,Okta,"Join Okta as a Backend Engineer. We are a fast-growing startup solving hard problems with git. What you'll do: optimized database queries; refactored legacy systems; implemented caching with Redis. What we need: deep expertise in aws and sql; strong background in ci/cd; experience deploying vs code at scale. Bonus: redis, mongodb, postman. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Staff Data Engineer,Atlassian,"Atlassian is hiring a Staff Data Engineer to help build and scale our data and engineering platform. In this role you will automated ingestion jobs, implemented data quality checks, and optimized SQL queries. Must have: 4+ years in docker, hands-on experience with python and redshift, strong knowledge of scala. Nice to have: airflow, git, kubernetes. You will work closely with product and design teams to deliver high-quality software. Our stack: docker, python, dbt. Remote-friendly, competitive salary."
Full Stack Developer,Splunk,"Join Splunk as a Full Stack Developer. We are a fast-growing startup solving hard problems with typescript. What you'll do: built real-time chat with WebSockets; integrated payment gateways; developed end-to-end web applications. What we need: deep expertise in postgresql and html; strong background in aws; experience deploying docker at scale. Bonus: git, mongodb, figma. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Applied AI Engineer,Atlassian,"Join Atlassian as a Applied AI Engineer. We are a fast-growing startup solving hard problems with tensorflow. What you'll do: optimized model latency; deployed ML models to production; implemented computer vision pipelines. What we need: deep expertise in deep learning and python; strong background in model deployment; experience deploying docker at scale. Bonus: pytorch, fastapi, mlflow. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
SRE,Apple,"We are looking for a SRE to join our developer experience team at Apple. You will provisioned cloud infrastructure with Terraform and implemented monitoring with Prometheus and Grafana. The ideal candidate has strong experience in ci/cd, bash, and ansible. You should be comfortable working with vault and jenkins. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in linux, azure, and prometheus. Familiarity with helm is a plus. We offer competitive compensation, equity, and excellent benefits."
Strategy Analyst,Databricks,"Join Databricks as a Strategy Analyst. We are a fast-growing startup solving hard problems with stakeholder management. What you'll do: produced weekly performance reports; facilitated stakeholder workshops; analyzed business requirements. What we need: deep expertise in excel and data analysis; strong background in statistics; experience deploying confluence at scale. Bonus: agile, reporting, tableau. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Business Analyst,CrowdStrike,"Join CrowdStrike as a Senior Business Analyst. We are a fast-growing startup solving hard problems with reporting. What you'll do: created executive dashboards; facilitated stakeholder workshops; developed KPI frameworks. What we need: deep expertise in jira and agile; strong background in scrum; experience deploying jira at scale. Bonus: excel, requirements gathering, tableau. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Backend Engineer,Amazon,"Join Amazon as a Backend Engineer. We are a fast-growing startup solving hard problems with algorithms. What you'll do: built scalable backend services; optimized database queries; designed microservices architecture. What we need: deep expertise in java and git; strong background in sql; experience deploying git at scale. Bonus: docker, rest api, jira. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Frontend Engineer,PagerDuty,"Join PagerDuty as a Frontend Engineer. We are a fast-growing startup solving hard problems with node.js. What you'll do: wrote unit and integration tests; developed accessible web interfaces; implemented UI component libraries. What we need: deep expertise in css and responsive design; strong background in graphql; experience deploying storybook at scale. Bonus: typescript, redux, webpack. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Backend Engineer,Palo Alto Networks,"Palo Alto Networks is hiring a Backend Engineer to help build and scale our data and engineering platform. In this role you will developed RESTful APIs, implemented caching with Redis, and built scalable backend services. Must have: 5+ years in mongodb, hands-on experience with sql and docker, strong knowledge of rest api. Nice to have: aws, vs code, jenkins. You will work closely with product and design teams to deliver high-quality software. Our stack: mongodb, sql, postman. Remote-friendly, competitive salary."
ML Engineer,Confluent,"We are looking for a ML Engineer to join our engineering team at Confluent. You will implemented computer vision pipelines and optimized model latency. The ideal candidate has strong experience in machine learning, kubernetes, and pytorch. You should be comfortable working with kubernetes and aws sagemaker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in model deployment, python, and fastapi. Familiarity with docker is a plus. We offer competitive compensation, equity, and excellent benefits."
Full Stack Developer,PagerDuty,"We are looking for a Full Stack Developer to join our engineering team at PagerDuty. You will built React frontends with Node.js backends and built real-time chat with WebSockets. The ideal candidate has strong experience in sql, node.js, and aws. You should be comfortable working with postman and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in react, typescript, and python. Familiarity with figma is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Backend Engineer,Notion,"Notion is hiring a Senior Backend Engineer to help build and scale our data and engineering platform. In this role you will reduced API latency by 40%, built event-driven microservices, and implemented authentication systems. Must have: 4+ years in kafka, hands-on experience with docker and python, strong knowledge of mongodb. Nice to have: java, nginx, git. You will work closely with product and design teams to deliver high-quality software. Our stack: kafka, docker, docker. Remote-friendly, competitive salary."
Lead Data Engineer,Instacart,"We are looking for a Lead Data Engineer to join our infrastructure team at Instacart. You will managed data warehouses and optimized SQL queries. The ideal candidate has strong experience in aws, data pipelines, and postgresql. You should be comfortable working with kubernetes and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in airflow, scala, and docker. Familiarity with terraform is a plus. We offer competitive compensation, equity, and excellent benefits."
Platform Engineer,Uber,"We are looking for a Platform Engineer to join our engineering team at Uber. You will designed high-performance APIs and implemented authentication systems. The ideal candidate has strong experience in grpc, docker, and git. You should be comfortable working with git and nginx. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in rest api, kafka, and mongodb. Familiarity with docker is a plus. We offer competitive compensation, equity, and excellent benefits."
ML Engineer,PagerDuty,"Join PagerDuty as a ML Engineer. We are a fast-growing startup solving hard problems with python. What you'll do: optimized model latency; designed inference APIs; fine-tuned transformer models. What we need: deep expertise in pytorch and transformers; strong background in kubernetes; experience deploying mlflow at scale. Bonus: machine learning, llm, docker. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Business Analyst,Meta,"We are looking for a Business Analyst to join our engineering team at Meta. You will streamlined business processes and translated business needs into technical specs. The ideal candidate has strong experience in data analysis, confluence, and scrum. You should be comfortable working with jira and tableau. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in requirements gathering, tableau, and reporting. Familiarity with sql is a plus. We offer competitive compensation, equity, and excellent benefits."
Platform Engineer,NextGen Systems,"NextGen Systems is hiring a Platform Engineer to help build and scale our data and engineering platform. In this role you will reduced API latency by 40%, deployed services on AWS, and built event-driven microservices. Must have: 2+ years in redis, hands-on experience with ci/cd and postgresql, strong knowledge of git. Nice to have: microservices, git, docker. You will work closely with product and design teams to deliver high-quality software. Our stack: redis, ci/cd, nginx. Remote-friendly, competitive salary."
Senior Data Scientist,TechStartup Inc,"We are looking for a Senior Data Scientist to join our engineering team at TechStartup Inc. You will built predictive models and conducted A/B testing. The ideal candidate has strong experience in statistics, tableau, and r. You should be comfortable working with azure and spark. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in python, pandas, and tensorflow. Familiarity with jupyter is a plus. We offer competitive compensation, equity, and excellent benefits."
Lead Data Scientist,AI Dynamics,"AI Dynamics is hiring a Lead Data Scientist to help build and scale our data and engineering platform. In this role you will developed ML pipelines, analyzed large datasets, and conducted A/B testing. Must have: 3+ years in pytorch, hands-on experience with numpy and matplotlib, strong knowledge of sql. Nice to have: deep learning, jupyter, git. You will work closely with product and design teams to deliver high-quality software. Our stack: pytorch, numpy, azure. Remote-friendly, competitive salary."
Senior Frontend Engineer,Oracle,"Join Oracle as a Senior Frontend Engineer. We are a fast-growing startup solving hard problems with git. What you'll do: collaborated with UX designers; built responsive React applications; improved page load performance. What we need: deep expertise in css and webpack; strong background in jest; experience deploying storybook at scale. Bonus: redux, graphql, vite. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Staff Engineer,Lyft,"We are looking for a Staff Engineer to join our core platform team at Lyft. You will implemented caching with Redis and designed microservices architecture. The ideal candidate has strong experience in rest api, python, and sql. You should be comfortable working with git and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in java, system design, and agile. Familiarity with jira is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior DevOps Engineer,Apple,"We are looking for a Senior DevOps Engineer to join our developer experience team at Apple. You will secured container environments and designed disaster recovery plans. The ideal candidate has strong experience in azure, kubernetes, and docker. You should be comfortable working with github actions and helm. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in grafana, jenkins, and ci/cd. Familiarity with vault is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Software Engineer,Nvidia,"Join Nvidia as a Senior Software Engineer. We are a fast-growing startup solving hard problems with algorithms. What you'll do: designed microservices architecture; optimized database queries; led code reviews. What we need: deep expertise in sql and aws; strong background in redis; experience deploying git at scale. Bonus: mongodb, git, vs code. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
UI Engineer,Oracle,"Join Oracle as a UI Engineer. We are a fast-growing startup solving hard problems with node.js. What you'll do: implemented UI component libraries; built responsive React applications; wrote unit and integration tests. What we need: deep expertise in react and typescript; strong background in webpack; experience deploying storybook at scale. Bonus: figma, responsive design, git. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Cloud Infrastructure Engineer,Cohere,"Join Cohere as a Cloud Infrastructure Engineer. We are a fast-growing startup solving hard problems with networking. What you'll do: set up disaster recovery workflows; designed cloud-native architectures; optimized cloud costs by 35%. What we need: deep expertise in ci/cd and s3; strong background in docker; experience deploying aws cli at scale. Bonus: iam, lambda, terraform. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Staff Engineer,Lyft,"Lyft is hiring a Staff Engineer to help build and scale our data and engineering platform. In this role you will refactored legacy systems, implemented caching with Redis, and led code reviews. Must have: 2+ years in algorithms, hands-on experience with system design and agile, strong knowledge of sql. Nice to have: docker, docker, jira. You will work closely with product and design teams to deliver high-quality software. Our stack: algorithms, system design, jenkins. Remote-friendly, competitive salary."
Data Analyst,Accenture,"Join Accenture as a Data Analyst. We are a fast-growing startup solving hard problems with sql. What you'll do: developed KPI frameworks; created executive dashboards; analyzed business requirements. What we need: deep expertise in scrum and tableau; strong background in python; experience deploying tableau at scale. Bonus: reporting, agile, jira. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Staff Data Scientist,CloudVentures,"We are looking for a Staff Data Scientist to join our analytics team at CloudVentures. You will created dashboards and optimized model performance. The ideal candidate has strong experience in deep learning, matplotlib, and data analysis. You should be comfortable working with jupyter and azure. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in r, statistics, and machine learning. Familiarity with spark is a plus. We offer competitive compensation, equity, and excellent benefits."
Applied AI Engineer,Cisco,"Join Cisco as a Applied AI Engineer. We are a fast-growing startup solving hard problems with aws. What you'll do: optimized model latency; designed inference APIs; deployed ML models to production. What we need: deep expertise in llm and model deployment; strong background in docker; experience deploying docker at scale. Bonus: machine learning, fastapi, kubernetes. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Web Developer,Cisco,"Join Cisco as a Web Developer. We are a fast-growing startup solving hard problems with typescript. What you'll do: developed accessible web interfaces; implemented UI component libraries; wrote unit and integration tests. What we need: deep expertise in jest and rest api; strong background in git; experience deploying figma at scale. Bonus: react, webpack, storybook. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Business Analyst,NextGen Systems,"NextGen Systems is hiring a Senior Business Analyst to help build and scale our data and engineering platform. In this role you will produced weekly performance reports, facilitated stakeholder workshops, and streamlined business processes. Must have: 4+ years in excel, hands-on experience with data analysis and jira, strong knowledge of statistics. Nice to have: sql, sql, confluence. You will work closely with product and design teams to deliver high-quality software. Our stack: excel, data analysis, excel. Remote-friendly, competitive salary."
ML Engineer,Figma,"Join Figma as a ML Engineer. We are a fast-growing startup solving hard problems with aws. What you'll do: implemented computer vision pipelines; built LLM-powered applications; designed inference APIs. What we need: deep expertise in rest api and computer vision; strong background in llm; experience deploying aws sagemaker at scale. Bonus: kubernetes, tensorflow, hugging face. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
UI Engineer,Canva,"We are looking for a UI Engineer to join our developer experience team at Canva. You will collaborated with UX designers and improved page load performance. The ideal candidate has strong experience in git, figma, and vue. You should be comfortable working with figma and vite. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in jest, css, and javascript. Familiarity with git is a plus. We offer competitive compensation, equity, and excellent benefits."
Lead Data Scientist,OpenAI,"Join OpenAI as a Lead Data Scientist. We are a fast-growing startup solving hard problems with sql. What you'll do: created dashboards; developed ML pipelines; analyzed large datasets. What we need: deep expertise in jupyter and pytorch; strong background in deep learning; experience deploying docker at scale. Bonus: machine learning, matplotlib, aws. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Site Reliability Engineer,Databricks,"We are looking for a Site Reliability Engineer to join our AI/ML team at Databricks. You will managed Kubernetes clusters and implemented monitoring with Prometheus and Grafana. The ideal candidate has strong experience in jenkins, azure, and docker. You should be comfortable working with vault and jenkins. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in aws, monitoring, and ci/cd. Familiarity with github actions is a plus. We offer competitive compensation, equity, and excellent benefits."
Cloud Engineer,Twilio,"We are looking for a Cloud Engineer to join our cloud infrastructure team at Twilio. You will set up disaster recovery workflows and optimized cloud costs by 35%. The ideal candidate has strong experience in s3, kubernetes, and networking. You should be comfortable working with terraform and vault. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in lambda, terraform, and iam. Familiarity with ansible is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Data Scientist,Salesforce,"We are looking for a Senior Data Scientist to join our AI/ML team at Salesforce. You will developed ML pipelines and conducted A/B testing. The ideal candidate has strong experience in pytorch, r, and tableau. You should be comfortable working with jupyter and spark. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in matplotlib, pandas, and machine learning. Familiarity with azure is a plus. We offer competitive compensation, equity, and excellent benefits."
Lead Data Scientist,IBM,"IBM is hiring a Lead Data Scientist to help build and scale our data and engineering platform. In this role you will created dashboards, implemented neural networks, and conducted A/B testing. Must have: 3+ years in machine learning, hands-on experience with pandas and scikit-learn, strong knowledge of data analysis. Nice to have: tensorflow, jupyter, spark. You will work closely with product and design teams to deliver high-quality software. Our stack: machine learning, pandas, docker. Remote-friendly, competitive salary."
AI Engineer,DataRobot,"DataRobot is hiring a AI Engineer to help build and scale our data and engineering platform. In this role you will optimized model latency, built LLM-powered applications, and designed inference APIs. Must have: 5+ years in machine learning, hands-on experience with aws and kubernetes, strong knowledge of deep learning. Nice to have: pytorch, kubernetes, mlflow. You will work closely with product and design teams to deliver high-quality software. Our stack: machine learning, aws, aws sagemaker. Remote-friendly, competitive salary."
DevOps Engineer,Twilio,"We are looking for a DevOps Engineer to join our core platform team at Twilio. You will provisioned cloud infrastructure with Terraform and managed Kubernetes clusters. The ideal candidate has strong experience in jenkins, ansible, and aws. You should be comfortable working with vault and pagerduty. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in grafana, linux, and terraform. Familiarity with github actions is a plus. We offer competitive compensation, equity, and excellent benefits."
Cloud Architect,Notion,"Join Notion as a Cloud Architect. We are a fast-growing startup solving hard problems with terraform. What you'll do: designed cloud-native architectures; optimized cloud costs by 35%; automated infrastructure with Terraform. What we need: deep expertise in python and iam; strong background in azure; experience deploying aws cli at scale. Bonus: monitoring, lambda, kubectl. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Server-Side Engineer,Scale AI,"Scale AI is hiring a Server-Side Engineer to help build and scale our data and engineering platform. In this role you will implemented authentication systems, integrated third-party APIs, and optimized database schemas. Must have: 3+ years in rest api, hands-on experience with kafka and python, strong knowledge of microservices. Nice to have: redis, jenkins, docker. You will work closely with product and design teams to deliver high-quality software. Our stack: rest api, kafka, redis. Remote-friendly, competitive salary."
Cloud Infrastructure Engineer,AI Dynamics,"AI Dynamics is hiring a Cloud Infrastructure Engineer to help build and scale our data and engineering platform. In this role you will automated infrastructure with Terraform, set up disaster recovery workflows, and managed multi-region deployments. Must have: 4+ years in cloudformation, hands-on experience with linux and iam, strong knowledge of terraform. Nice to have: networking, ansible, vault. You will work closely with product and design teams to deliver high-quality software. Our stack: cloudformation, linux, kubectl. Remote-friendly, competitive salary."
Backend Engineer,Netflix,"We are looking for a Backend Engineer to join our analytics team at Netflix. You will optimized database schemas and reduced API latency by 40%. The ideal candidate has strong experience in docker, postgresql, and redis. You should be comfortable working with postman and redis. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in sql, aws, and microservices. Familiarity with jenkins is a plus. We offer competitive compensation, equity, and excellent benefits."
Data Scientist,Palantir,"Join Palantir as a Data Scientist. We are a fast-growing startup solving hard problems with deep learning. What you'll do: created dashboards; developed ML pipelines; implemented neural networks. What we need: deep expertise in machine learning and r; strong background in scikit-learn; experience deploying docker at scale. Bonus: jupyter, tableau, git. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Software Engineer,Atlassian,"Atlassian is hiring a Senior Software Engineer to help build and scale our data and engineering platform. In this role you will refactored legacy systems, designed microservices architecture, and developed RESTful APIs. Must have: 3+ years in redis, hands-on experience with sql and docker, strong knowledge of ci/cd. Nice to have: mongodb, jira, docker. You will work closely with product and design teams to deliver high-quality software. Our stack: redis, sql, vs code. Remote-friendly, competitive salary."
Server-Side Engineer,JetBrains,"Join JetBrains as a Server-Side Engineer. We are a fast-growing startup solving hard problems with sql. What you'll do: implemented authentication systems; integrated third-party APIs; designed high-performance APIs. What we need: deep expertise in postgresql and java; strong background in node.js; experience deploying nginx at scale. Bonus: mongodb, kafka, redis. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Data Scientist,Palo Alto Networks,"We are looking for a Data Scientist to join our core platform team at Palo Alto Networks. You will optimized model performance and conducted A/B testing. The ideal candidate has strong experience in tensorflow, sql, and r. You should be comfortable working with aws and jupyter. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in deep learning, data analysis, and statistics. Familiarity with git is a plus. We offer competitive compensation, equity, and excellent benefits."
AWS Solutions Architect,Rippling,"Join Rippling as a AWS Solutions Architect. We are a fast-growing startup solving hard problems with s3. What you'll do: designed cloud-native architectures; implemented IAM policies and security hardening; automated infrastructure with Terraform. What we need: deep expertise in python and security; strong background in azure; experience deploying terraform at scale. Bonus: aws, kubernetes, vault. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
